id,name,purposes,legIntPurposes,flexiblePurposes,specialPurposes,features,specialFeatures,cookieMaxAgeSeconds,usesCookies,cookieRefresh,usesNonCookieAccess,dataRetention,urls,dataDeclaration,deviceStorageDisclosureUrl,overflow,deletedDate
1132,Lupon Media,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],"[2, 7, 8, 9, 10]",[2],"[1, 2, 3]","[1, 2]",2592000.0,True,False,False,"{'stdRetention': 90, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://luponmedia.com/privacy-policy', 'legIntClaim': 'https://luponmedia.com/privacy-policy'}]","[1, 2, 3, 5, 6, 11]",https://luponmedia.com/vendor_device_storage.json,{'httpGetLimit': 32},
1133,Nativery Srl,"[1, 2, 7, 10]",[],[],"[1, 2]",[3],[],31536000.0,True,True,False,"{'stdRetention': 0, 'purposes': {'2': 365, '7': 30}, 'specialPurposes': {}}","[{'langId': 'it', 'privacy': 'https://www.nativery.com/privacy/', 'legIntClaim': 'https://www.nativery.com/privacy/'}, {'langId': 'en', 'privacy': 'https://www.nativery.com/privacy-en/?', 'legIntClaim': 'https://www.nativery.com/privacy-en/?'}, {'langId': 'es', 'privacy': 'https://www.nativery.com/privacy-es/?', 'legIntClaim': 'https://www.nativery.com/privacy-es/?'}]","[1, 2]",https://cdnimg.nativery.com/widget/js/deviceStorageDisclosure.json,,
1134,Bidmatic Inc,"[1, 2, 7]",[],[],"[1, 2]",[3],[],8035200.0,True,True,True,"{'stdRetention': 90, 'purposes': {}, 'specialPurposes': {'2': 0}}","[{'langId': 'en', 'privacy': 'https://bidmatic.io/privacy-policy/', 'legIntClaim': 'https://bidmatic.io/tos/'}]","[1, 2, 3, 4, 6, 7, 8, 11]",https://bidmatic.io/.well-known/deviceStorage.json,,
1135,Opera Software Ireland Limited,"[1, 2, 3, 4, 5, 6]","[7, 8]",[2],"[1, 2]",[],[],31536000.0,True,True,False,"{'stdRetention': 180, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.opera.com/privacy', 'legIntClaim': 'https://legal.opera.com'}]","[1, 3, 11]",https://res.adx.opera.com/sellers.json,,
1136,"Infolinks Media, LLC","[1, 2, 3, 4, 7, 10]",[],[],[2],"[1, 2, 3]",[1],31536000.0,True,True,True,"{'stdRetention': 4320, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.infolinks.com/privacy-policy', 'legIntClaim': 'https://www.infolinks.com/privacy-policy'}]","[1, 2, 3, 4, 6, 8]",https://resources.infolinks.com/static/tcf/devicestoragedisclosure.json,,
1137,Verasity Limited,"[1, 3, 4, 5, 6]","[2, 7, 8, 9, 10]","[2, 7, 8, 9, 10]","[1, 2]","[1, 2, 3]","[1, 2]",31556952.0,True,False,True,"{'stdRetention': 4320, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://verasity.io/privacy', 'legIntClaim': 'https://veraviews.com/privacy_policy#how-we-use-your-personal-data'}]","[1, 2, 3, 4, 6, 8, 9, 11]",https://veraviews.com/device-storage-disclosure.json,,
1138,Viafoura Inc.,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]",[],"[2, 8, 9, 10, 11]","[1, 2]",[3],[2],31536000.0,True,True,True,"{'stdRetention': 1825, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://viafoura.com/privacy-policy/', 'legIntClaim': 'https://viafoura.com/privacy-policy/'}]","[1, 5, 6, 7]",https://cdn.viafoura.net/front/policies/deviceStorage.json,,
1139,CleverPush GmbH,"[1, 5, 6, 8, 10]",[],[],[2],[3],[],,False,False,True,"{'stdRetention': 4320, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://cleverpush.com/en/privacy/', 'legIntClaim': 'https://cleverpush.com/en/privacy/'}, {'langId': 'de', 'privacy': 'https://cleverpush.com/de/privacy/', 'legIntClaim': 'https://cleverpush.com/de/privacy/'}]","[2, 3]",https://cleverpush.com/iab/vendor-storage-info.json,,
1140,Convo Ink,[],"[2, 7, 8, 10]",[],"[1, 2]",[],[1],,False,False,False,"{'stdRetention': 2555, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.convo.ink/privacy-policy', 'legIntClaim': 'https://www.convo.ink/privacy-policy'}]",[2],https://api.convo.ink/v1/compliance/iab/device-storage-disclosure.json,,
1141,Agate Systems Limited,"[1, 9, 10]",[],"[9, 10]",[],[3],[],31536000.0,True,False,False,"{'stdRetention': 420, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.axate.com/privacy-policy', 'legIntClaim': 'https://www.axate.com/privacy-policy'}]","[2, 3, 6, 7, 11]",https://agatehq.github.io/dashboards/deviceStorage.json,,
1142,xpln.ai SAS,[],"[7, 10]","[7, 10]",[1],[],[],,False,False,False,"{'stdRetention': 90, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://xpln.ai/privacy', 'legIntClaim': 'https://xpln.ai/privacy'}]","[1, 6]",https://cdn.xpln.tech/tcf.json,,
1144,Unicredit BankAustria AG,"[1, 2, 3, 4, 7, 8, 9, 10]",[],[],[],"[1, 2, 3]",[],31536000.0,True,True,True,"{'stdRetention': 180, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'de', 'privacy': 'https://www.bankaustria.at/rechtliches-datenschutz.jsp'}]","[1, 3, 4, 10]",https://js.ucg-at.datafront.co/next14_dmp_ucg-at_device_storage_information.json,,
1146,Claritas LLC,"[7, 8, 9, 10]",[],[],[],"[2, 3]",[],,False,False,True,"{'stdRetention': 0, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://claritas.com/privacy-legal/'}]","[1, 2, 4, 8]",https://iab.claritas.com/claritas_disclosures.json,,
