id,name,purposes,legIntPurposes,flexiblePurposes,specialPurposes,features,specialFeatures,cookieMaxAgeSeconds,usesCookies,cookieRefresh,usesNonCookieAccess,dataRetention,urls,dataDeclaration,deviceStorageDisclosureUrl,overflow,deletedDate
1,"Exponential Interactive, Inc d/b/a VDX.tv","[1, 2, 3, 4, 7, 8, 9, 10]",[],"[2, 7, 8, 9, 10]","[1, 2]","[1, 2, 3]",[],7776000.0,True,True,False,"{'stdRetention': 397, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://vdx.tv/privacy/', 'legIntClaim': 'https://cdnx.exponential.com/wp-content/uploads/2018/04/Balancing-Assessment-for-Legitimate-Interest-Publishers-v2.pdf'}]","[1, 3, 4, 6, 8, 10, 11]",https://vdxtv.expo.workers.dev,,
2,Captify Technologies Limited,"[1, 2, 3, 4, 7, 9, 10]",[],[],"[1, 2]",[2],[2],31536000.0,True,True,True,"{'stdRetention': 365, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.captifytechnologies.com/privacy-notice/', 'legIntClaim': 'https://www.captifytechnologies.com/privacy-notice/'}]","[1, 2, 4, 6, 11]",https://static.cpx.to/gvl/deviceStorageDisclosure.json,,
4,Roq.ad GmbH,"[1, 2, 3, 4, 7, 9, 10]",[],[],[],"[1, 2, 3]",[1],31536000.0,True,True,False,"{'stdRetention': 365, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.roq.ad/privacy-policy-roqad/'}]","[1, 2, 3, 4, 5, 6, 8, 9, 11]",https://roqad-public.s3.eu-central-1.amazonaws.com/tcf-disclosure.json,,
6,AdSpirit GmbH,"[1, 2, 3, 4, 7, 9]",[],[],"[1, 2]",[3],[],2592000.0,True,True,False,"{'stdRetention': 60, 'purposes': {'2': 14, '7': 14}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://help.adspirit.de/privacy.php', 'legIntClaim': 'https://help.adspirit.de/privacy.php'}, {'langId': 'de', 'privacy': 'https://help.adspirit.de/privacy.php', 'legIntClaim': 'https://help.adspirit.de/privacy.php'}]","[1, 2, 3, 4, 6, 8, 10, 11]",https://help.adspirit.de/deviceStorage.json,{'httpGetLimit': 32},
8,Emerse Sverige AB,"[1, 3, 4]","[2, 7, 8, 9]","[2, 9]","[1, 2]","[1, 2]",[],2592000.0,True,False,False,"{'stdRetention': 0, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.emerse.com/privacy-policy/', 'legIntClaim': 'https://www.emerse.com/privacy-policy/'}]","[1, 2, 6, 8, 11]",https://s3.eu-west-1.amazonaws.com/cors.emerse.com/gdpr-tcf.json,,
9,AdMaxim Limited,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[],[],[],[1],[],2592000.0,True,True,False,"{'stdRetention': 90, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'http://www.admaxim.com/admaxim-privacy-policy/'}]","[1, 4, 6]",https://designmaxim.com/tcf.json,,
10,Index Exchange Inc. ,"[1, 2, 7]",[10],"[2, 7]","[1, 2]","[1, 3]",[1],34128000.0,True,True,True,"{'purposes': {'2': 90, '7': 90, '10': 30}, 'specialPurposes': {'1': 0, '2': 0}}","[{'langId': 'en', 'privacy': 'https://www.indexexchange.com/privacy', 'legIntClaim': 'https://www.indexexchange.com/privacy/exchange-platform-privacy-policy/#section-3'}]","[1, 2, 3, 8, 9, 11]",https://cdn.indexexchange.com/device_storage_disclosure.json,,
11,Quantcast,"[1, 3, 4]","[2, 7, 8, 9, 10]","[2, 7, 8, 9, 10]","[1, 2]","[1, 2, 3]",[],34214400.0,True,True,True,"{'stdRetention': 395, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.quantcast.com/privacy', 'legIntClaim': 'https://www.quantcast.com/privacy'}]","[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]",https://www.quantcast.com/.well-known/devicestorage.json,,
12,BeeswaxIO Corporation,"[1, 2, 3, 4, 7]",[],[],"[1, 2]","[1, 3]",[1],34109999.0,True,True,True,"{'purposes': {'2': 30, '3': 0, '4': 0, '7': 4320}, 'specialPurposes': {'1': 392, '2': 4320}}","[{'langId': 'en', 'privacy': 'https://www.beeswax.com/privacy/', 'legIntClaim': 'https://www.beeswax.com/privacy/'}]","[1, 2, 3, 4, 6, 8, 9, 11]",https://beeswax.com/devicedisclosure.json,,
13,"Sovrn, Inc.","[1, 2, 3, 5, 7, 9, 10]",[],[],"[1, 2]","[1, 2, 3]",[],31536000.0,True,True,True,"{'stdRetention': 180, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.sovrn.com/privacy-policy/', 'legIntClaim': 'https://www.sovrn.com/privacy-policy/'}]","[1, 2, 6, 8, 10, 11]",https://www.sovrn.com/legal/tcf-disclosure/,,
14,Adkernel LLC,"[1, 3, 4, 9, 10]","[2, 7]",[],"[1, 2]",[3],"[1, 2]",1474836.0,True,True,False,"{'stdRetention': 180, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://adkernel.com/privacy-policy/', 'legIntClaim': 'https://adkernel.com/privacy-policy/'}]","[1, 3, 8, 9, 10]",https://static.adkernel.com/deviceStorage.json,,
15,Adikteev,"[1, 2, 3, 4, 5, 6, 9, 10, 11]","[7, 8]",[],"[1, 2]",[2],[],,False,False,True,"{'stdRetention': 730, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.adikteev.com/privacy', 'legIntClaim': 'https://www.adikteev.com/privacy-policy-app-users'}]","[1, 2, 3, 4, 5, 8, 10]",https://tcf-registrationprocess.adikteev.com/deviceStorageDisclosureURL.json,,
16,RTB House S.A.,"[1, 2, 3, 4, 7, 9, 10]",[],[],"[1, 2]",[1],[],31536000.0,True,True,True,"{'stdRetention': 565, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.rtbhouse.com/privacy-center', 'legIntClaim': 'https://www.rtbhouse.com/legitimate_interest_assessments_tcf'}]","[1, 2, 3, 6, 8, 10, 11]",https://rtbhouse.com/DeviceStorage.json,,
20,N.Rich Technologies Inc.,"[1, 3, 4]","[2, 7, 8, 9, 10]","[2, 7, 8, 9, 10]","[1, 2]","[1, 2]",[],46656000.0,True,True,False,"{'stdRetention': 540, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://n.rich/privacy-notice', 'legIntClaim': 'https://n-rich.atlassian.net/wiki/spaces/NK/pages/56164370/GDPR+Legitimate+Interest+Assessment+Sheet'}]","[1, 2, 3, 5, 6, 7, 8, 10, 11]",https://privacy.nrich.ai/.well-known/deviceStorage.json,,
21,The UK Trade Desk Ltd,"[1, 3, 4]","[2, 7, 10]","[2, 7, 10]","[1, 2]","[1, 2, 3]",[1],313536000.0,True,True,True,"{'stdRetention': 99, 'purposes': {'2': 365, '4': 132}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.thetradedesk.com/us/privacy', 'legIntClaim': 'https://www.thetradedesk.com/us/privacy'}]","[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]",https://ttd-misc-public-assets.s3.us-west-2.amazonaws.com/deviceStorageDisclosureURL.json,,
22,admetrics GmbH,"[7, 8]",[],[],[],[2],[],,False,False,False,"{'stdRetention': 365, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://admetrics.io/en/privacy_policy/'}]","[1, 2, 6, 11]",https://www.admetrics.io/tcf/disclosure.json,,
23,Amobee Inc.,"[1, 2, 3, 4]","[7, 9, 10]",[],"[1, 2]","[1, 2, 3]",[],15552000.0,True,True,True,"{'stdRetention': 400, 'purposes': {'2': 30, '3': 120, '4': 120}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.amobee.com/trust/gdpr/', 'legIntClaim': 'https://www.amobee.com/trust/gdpr/'}]","[1, 2, 3, 4, 6, 8, 10, 11]",https://services.amobee.com/files/TCFDisclosure,,
24,Epsilon,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",[],[],"[1, 2]","[1, 2, 3]",[],15828480.0,True,True,True,"{'stdRetention': 480, 'purposes': {'3': 3285, '4': 3285, '5': 3285, '6': 3285, '9': 56}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.epsilon.com/emea/privacy-policy', 'legIntClaim': 'https://www.epsilon.com/emea/privacy-policy'}, {'langId': 'fr', 'privacy': 'https://legal.epsilon.com/eu/privacy-poliicy-services-fr', 'legIntClaim': 'https://legal.epsilon.com/eu/privacy-poliicy-services-fr'}, {'langId': 'de', 'privacy': 'https://legal.epsilon.com/eu/privacy-policy-services-de', 'legIntClaim': 'https://legal.epsilon.com/eu/privacy-policy-services-de'}]","[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]",https://s-usweb.dotomi.com/assets/js/taggy-js/2.6.8/device_storage_disclosure.json,,
25,Yahoo EMEA Limited,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[],[],"[1, 2]","[1, 2, 3]",[1],34300800.0,True,True,False,"{'stdRetention': 400, 'purposes': {}, 'specialPurposes': {'1': 1825, '2': 550}}","[{'langId': 'en', 'privacy': 'https://legal.yahoo.com/ie/en/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/en/yahoo/privacy/index.html#6-c'}, {'langId': 'fr', 'privacy': 'https://legal.yahoo.com/ie/fr/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/fr/yahoo/privacy/index.html#6-c'}, {'langId': 'de', 'privacy': 'https://legal.yahoo.com/ie/de/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/de/yahoo/privacy/index.html#6-c'}, {'langId': 'es', 'privacy': 'https://legal.yahoo.com/ie/es/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/es/yahoo/privacy/index.html#6-c'}, {'langId': 'it', 'privacy': 'https://legal.yahoo.com/ie/it/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/it/yahoo/privacy/index.html#6-c'}, {'langId': 'ro', 'privacy': 'https://legal.yahoo.com/ie/ro/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/ro/yahoo/privacy/index.html#6-c'}, {'langId': 'pl', 'privacy': 'https://legal.yahoo.com/ie/pl/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/pl/yahoo/privacy/index.html#6-c'}, {'langId': 'hu', 'privacy': 'https://legal.yahoo.com/ie/hu/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/hu/yahoo/privacy/index.html#6-c'}, {'langId': 'cs', 'privacy': 'https://legal.yahoo.com/ie/cs/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/cs/yahoo/privacy/index.html#6-c'}, {'langId': 'da', 'privacy': 'https://legal.yahoo.com/ie/da/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/da/yahoo/privacy/index.html#6-c'}, {'langId': 'et', 'privacy': 'https://legal.yahoo.com/ie/et/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/et/yahoo/privacy/index.html#6-c'}, {'langId': 'hr', 'privacy': 'https://legal.yahoo.com/ie/hr/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/hr/yahoo/privacy/index.html#6-c'}, {'langId': 'lv', 'privacy': 'https://legal.yahoo.com/ie/lv/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/lv/yahoo/privacy/index.html#6-c'}, {'langId': 'lt', 'privacy': 'https://legal.yahoo.com/ie/lt/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/lt/yahoo/privacy/index.html#6-c'}, {'langId': 'no', 'privacy': 'https://legal.yahoo.com/ie/nb/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/nb/yahoo/privacy/index.html#6-c'}, {'langId': 'pt', 'privacy': 'https://legal.yahoo.com/ie/pt/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/pt/yahoo/privacy/index.html#6-c'}, {'langId': 'sl', 'privacy': 'https://legal.yahoo.com/ie/sl/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/sl/yahoo/privacy/index.html#6-c'}, {'langId': 'sk', 'privacy': 'https://legal.yahoo.com/ie/sk/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/sk/yahoo/privacy/index.html#6-c'}, {'langId': 'fi', 'privacy': 'https://legal.yahoo.com/ie/fi/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/fi/yahoo/privacy/index.html#6-c'}, {'langId': 'sv', 'privacy': 'https://legal.yahoo.com/ie/sv/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/sv/yahoo/privacy/index.html#6-c'}, {'langId': 'tr', 'privacy': 'https://legal.yahoo.com/ie/tr/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/tr/yahoo/privacy/index.html#6-c'}, {'langId': 'el', 'privacy': 'https://legal.yahoo.com/ie/el/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/el/yahoo/privacy/index.html#6-c'}, {'langId': 'bg', 'privacy': 'https://legal.yahoo.com/ie/bg/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/bg/yahoo/privacy/index.html#6-c'}, {'langId': 'sr - cyrl', 'privacy': 'https://legal.yahoo.com/ie/sr-cyrl/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/sr-cyrl/yahoo/privacy/index.html#6-c'}, {'langId': 'ar', 'privacy': 'https://legal.yahoo.com/ie/ar/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/ar/yahoo/privacy/index.html#6-c'}, {'langId': 'ru', 'privacy': 'https://legal.yahoo.com/ie/ru/yahoo/privacy/index.html', 'legIntClaim': 'https://legal.yahoo.com/ie/ru/yahoo/privacy/index.html#6-c'}]","[1, 2, 3, 4, 6, 8, 9, 10, 11]",https://meta.legal.yahoo.com/iab-tcf/v2/device-storage-disclosure.json,,
26,Venatus Media Limited,"[1, 2, 3, 4, 7, 8, 9, 10]",[],[],[],[3],[],,False,False,True,"{'stdRetention': 0, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.venatus.com/privacy/'}]","[1, 2, 8]",https://www.venatus.com/tcf-gvl-disclosure.json,,
27,ADventori SAS,"[1, 2, 4, 7]",[],"[2, 7]","[1, 2]",[],[],7776000.0,True,True,True,"{'stdRetention': 400, 'purposes': {'2': 90, '4': 90}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.adventori.com/with-us/legal-notice/', 'legIntClaim': 'https://www.adventori.com/with-us/legal-notice/'}]","[1, 3, 5, 6, 7, 8]",https://adventori.com/.well-known/tcf-adventori-device-storage-disclosure.json,{'httpGetLimit': 128},
28,"TripleLift, Inc.","[1, 3, 4]","[2, 7, 9, 10]","[2, 7, 9, 10]","[1, 2]",[],[1],7776000.0,True,True,True,"{'stdRetention': 45, 'purposes': {'3': 52, '4': 52}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://triplelift.com/privacy/', 'legIntClaim': 'https://triplelift.com/platform-privacy-policy#legalbasisofprocessing'}]","[1, 2, 3, 5, 6, 8, 9, 10, 11]",https://triplelift.com/.well-known/deviceStorage.json,{'httpGetLimit': 32},
29,ETARGET SE,"[1, 2, 3, 4, 7, 8, 10]",[],[],[],[1],[],31536000.0,True,False,False,"{'stdRetention': 60, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://sk.search.etargetnet.com/policy.html'}]",[1],https://www.etarget.sk/cookies2.json,,
30,BidTheatre AB,"[1, 3, 4, 7]",[2],"[2, 7]","[1, 2]",[2],[],7776000.0,True,True,False,"{'stdRetention': 7, 'purposes': {'3': 60, '4': 0, '7': 180}, 'specialPurposes': {'1': 30}}","[{'langId': 'en', 'privacy': 'https://www.bidtheatre.com/privacy-policy', 'legIntClaim': 'https://cdn.bidtheatre.com/LIA_ferq.pdf'}]","[1, 2, 3, 4, 5, 6, 8, 10, 11]",https://cdn.bidtheatre.com/deviceStorage.json,,
31,Ogury Ltd,"[1, 2, 7, 9, 10]",[],[],"[1, 2]",[1],[],15724800.0,True,True,True,"{'stdRetention': 400, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://ogury.com/privacy-policy/', 'legIntClaim': 'https://ogury.com/privacy-policy/'}, {'langId': 'fr', 'privacy': 'https://ogury.com/declaration-de-confidentialite-des-services/', 'legIntClaim': 'https://ogury.com/declaration-de-confidentialite-des-services/'}]","[1, 2, 3, 6, 7, 8, 11]",https://privacy.ogury.co/disclosure.json,,
32,"Xandr, Inc.","[1, 3, 4]","[2, 7, 10]","[2, 7, 10]","[1, 2]","[2, 3]",[1],7776000.0,True,True,True,"{'stdRetention': 0, 'purposes': {'2': 180, '7': 60, '10': 60}, 'specialPurposes': {'1': 540}}","[{'langId': 'en', 'privacy': 'https://www.xandr.com/privacy/platform-privacy-policy/', 'legIntClaim': 'https://about.ads.microsoft.com/en-us/solutions/xandr/platform-privacy-policy#p_lt_ctl01_pageplaceholder_p_lt_ctl00_pageplaceholder_p_lt_WebPartZone3_zonePageBody_BingAds_PageContentViewer_PageContentViewerAll_ctl18_ctl00_ColumnsContainer'}, {'langId': 'pt', 'privacy': 'https://about.ads.microsoft.com/pt-br/solutions/xandr/politica-de-privacidade-da-plataforma', 'legIntClaim': 'https://about.ads.microsoft.com/pt-br/solutions/xandr/politica-de-privacidade-da-plataforma#p_lt_ctl01_pageplaceholder_p_lt_ctl00_pageplaceholder_p_lt_WebPartZone3_zonePageBody_BingAds_PageContentViewer_PageContentViewerAll_ctl16_ctl00_ColumnsContainer'}]","[1, 2, 3, 5, 6, 8, 9, 10, 11]",https://acdn.adnxs.com/gvl/1d/xandrdevicestoragedisclosures.json,,
33,"ShareThis, Inc","[1, 3, 5]",[],[],[],"[1, 2, 3]",[],33696000.0,True,False,False,"{'stdRetention': 365, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://sharethis.com/privacy/'}, {'langId': 'fr', 'privacy': 'https://pcdn.sharethis.com/wp-content/uploads/2021/11/ShareThis-Privacy-Policy-11.2.21_FR.pdf'}, {'langId': 'es', 'privacy': 'https://pcdn.sharethis.com/wp-content/uploads/2021/11/ShareThis-Privacy-Policy-11.2.21_ES.pdf'}, {'langId': 'it', 'privacy': 'https://pcdn.sharethis.com/wp-content/uploads/2021/11/ShareThis-Privacy-Policy-11.2.21_IT.pdf'}]","[1, 2, 3, 4, 6, 8, 10, 11]",https://gdpr-api.sharethis.com/disclosures.json,,
34,NEORY GmbH,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[],"[2, 7, 8, 9, 10, 11]","[1, 2]","[2, 3]",[],7776000.0,True,True,False,"{'stdRetention': 90, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.neory.com/privacy.html', 'legIntClaim': 'https://www.neory.com/privacy.html'}]","[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]",https://ad.ad-srv.net/privacy/tcf/deviceStorage/6505e3798148a611.json,{'httpGetLimit': 128},
36,Unruly Group LLC,"[1, 3, 4, 9]","[2, 7, 10]",[],"[1, 2]","[1, 2, 3]",[],31536000.0,True,True,False,"{'stdRetention': 400, 'purposes': {'2': 30, '3': 120, '4': 120}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://unruly.co/legal/privacy/', 'legIntClaim': 'https://unruly.co/legal/privacy/'}]","[1, 2, 3, 4, 8, 10, 11]",https://video.unrulymedia.com/deviceStorageDisclosure.json,,
37,NEURAL.ONE,"[1, 3, 4, 7]",[],[],"[1, 2]","[1, 2]",[2],31536000.0,True,True,True,"{'stdRetention': 90, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://web.neural.one/privacy-policy/', 'legIntClaim': 'https://web.neural.one/privacy-policy/'}]","[1, 2, 4, 6, 8, 11]",https://web.neural.one/.well-known/deviceStorage.json,,
39,ADITION (Virtual Minds GmbH),"[1, 2, 3, 4, 7, 9, 10]",[],"[2, 7, 9, 10]","[1, 2]","[1, 2, 3]",[1],31536000.0,True,True,False,"{'stdRetention': 90, 'purposes': {'7': 30, '9': 7, '10': 7}, 'specialPurposes': {'1': 3, '2': 3}}","[{'langId': 'en', 'privacy': 'https://www.adition.com/en/privacy-platform', 'legIntClaim': 'https://www.adition.com/en/privacy-platform'}, {'langId': 'de', 'privacy': 'https://www.adition.com/datenschutz-plattform/', 'legIntClaim': 'https://www.adition.com/datenschutz-plattform/'}]","[1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",https://imagesrv.adition.com/tcf/deviceStorage_adition.json,,
40,Active Agent (Virtual Minds GmbH),"[1, 2, 3, 4, 7, 9, 10]",[],"[2, 7, 9, 10]","[1, 2]","[1, 2, 3]",[1],31536000.0,True,True,False,"{'stdRetention': 90, 'purposes': {'7': 30, '9': 7, '10': 7}, 'specialPurposes': {'1': 3, '2': 3}}","[{'langId': 'en', 'privacy': 'https://www.adition.com/en/privacy-platform', 'legIntClaim': 'https://www.adition.com/en/privacy-platform'}, {'langId': 'de', 'privacy': 'https://www.adition.com/datenschutz-plattform/', 'legIntClaim': 'https://www.adition.com/datenschutz-plattform/'}]","[1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",https://imagesrv.adition.com/tcf/deviceStorage_activeagent.json,,
42,Taboola Europe Limited,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]",[],"[2, 7, 8, 10, 11]","[1, 2]","[1, 2, 3]",[],31556926.0,True,True,True,"{'stdRetention': 396, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.taboola.com/privacy-policy', 'legIntClaim': 'https://www.taboola.com/privacy-policy'}]","[1, 2, 3, 4, 6, 8, 10, 11]",https://accessrequest.taboola.com/iab-tcf-v2-disclosure.json,,
44,Adex (Virtual Minds GmbH),"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[],[],"[1, 2]","[1, 2, 3]",[],7776000.0,True,True,True,"{'stdRetention': 90, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://theadex.com/privacy-platform/', 'legIntClaim': 'https://theadex.com/privacy-platform/'}, {'langId': 'de', 'privacy': 'https://theadex.com/datenschutz-plattform/', 'legIntClaim': 'https://theadex.com/datenschutz-plattform/'}]","[1, 2, 3, 4, 6, 7, 8, 9, 10, 11]",https://dmp.theadex.com/.well-known/deviceStorage.json,,
45,Equativ,"[1, 2, 3, 4, 7, 10]",[],[],"[1, 2]",[3],[1],34214395.0,True,False,True,"{'stdRetention': 40, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://equativ.com/privacy-policy/', 'legIntClaim': 'https://equativ.com/privacy-policy/'}]","[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]",https://apps.smartadserver.com/device-storage-disclosures/equativDeviceStorageDisclosures.json,,
46,Skimbit Ltd,[],"[7, 8, 10]","[7, 8]","[1, 2]",[3],[],,False,False,False,"{'stdRetention': 0, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://skimlinks.com/privacy-policies/', 'legIntClaim': 'https://skimlinks.com/privacy-policies/'}]","[1, 2, 6, 8, 11]",https://storage.googleapis.com/skimthru-js/js/skimlinks_tcf_disclosures.json,,
47,"ADMAN - Phaistos Networks, S.A.","[1, 3, 4]","[2, 7]","[2, 7]","[1, 2]",[],[],315360000.0,True,False,False,"{'stdRetention': 3650, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.adman.gr/privacy', 'legIntClaim': 'https://www.adman.gr/privacy'}]","[2, 3, 4, 8]",https://static.adman.gr/phaistos_ads_cookies_disclosure.json,,
48,"NetSuccess, s.r.o.","[1, 3, 4]","[2, 7, 9, 10]","[2, 7, 9, 10]","[1, 2]",[3],[],15552000.0,True,True,True,"{'stdRetention': 365, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://admin.inres.sk/pp/index.html', 'legIntClaim': 'https://admin.inres.sk/pp/index.html#claim'}]","[1, 2, 3, 6, 11]",https://inres.uspech.sk/TCF/TCFStorage.json,,
49,Jellyfish France,"[1, 2, 3, 4, 5, 6]","[7, 8, 9, 10]","[7, 8, 9, 10]",[],"[1, 2]",[1],34190000.0,True,False,True,"{'stdRetention': 396, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'fr', 'privacy': 'https://www.jellyfish.com/fr-fr/privacy-policy', 'legIntClaim': 'https://www.jellyfish.com/fr-fr/privacy-policy'}]","[2, 3, 6, 10]",https://bkt-gdpr-prod-eu-tcf-public.storage.googleapis.com/deviceStorageDisclosureUrls.json,{'httpGetLimit': 32},
50,Adform A/S,"[1, 3, 4]","[2, 7, 10]","[2, 7, 10]","[1, 2]","[2, 3]",[],3650.0,True,False,False,"{'stdRetention': 60, 'purposes': {}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://site.adform.com/privacy-center/platform-privacy/product-and-services-privacy-policy/', 'legIntClaim': 'https://site.adform.com/privacy-center/platform-privacy/transparency-and-consent-framework-tcf-compliance/legitimate-interest-at-stake/'}]","[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]",https://site.adform.com/assets/devicestorage.json,,
52,"Magnite, Inc. ","[1, 3, 4]","[2, 7, 10]","[2, 7, 10]","[1, 2]","[1, 2, 3]",[1],31536000.0,True,False,True,"{'stdRetention': 28, 'purposes': {'10': 90}, 'specialPurposes': {}}","[{'langId': 'en', 'privacy': 'https://www.magnite.com/legal/advertising-technology-privacy-policy/', 'legIntClaim': 'https://www.magnite.com/legal/advertising-technology-privacy-policy/'}]","[1, 2, 3, 4, 6, 8, 9, 11]",https://gdpr.rubiconproject.com/dvplus/devicestoragedisclosure.json,{'httpGetLimit': 128},
